"","region","total","invalid","valid","Baburin","Grudinin","Zhirinovsky","Putin","Sobchak","Suraikin","Titov","Yavlinsky","turnout","turnout_perc","Baburin_perc","Grudinin_perc","Zhirinovsky_perc","Putin_perc","Sobchak_perc","Suraikin_perc","Titov_perc","Yavlinsky_perc"
"52","Республика Ингушетия",219305,710,179031,1580,10187,6570,149488,2974,677,3304,4251,179741,81.9593716513531,0.879042622440066,5.66759949037782,3.65525951229825,83.1685592046333,1.65460301211187,0.376653073032864,1.83820052186201,2.3650697392359
"53","Республика Калмыкия",201912,1790,138829,502,16399,2734,114833,2117,675,632,937,140619,69.6437061690241,0.356993009479516,11.6620086901486,1.94426073290238,81.6625064891658,1.50548645631102,0.480020480873851,0.449441398388553,0.666339541598219
"54","Республика Карелия",519667,3656,293309,2343,33693,23254,216899,6777,1927,3201,5215,296965,57.1452487843177,0.78898186654993,11.3457814894011,7.83055242200259,73.0385735692758,2.28208711464314,0.648898018284983,1.07790480359638,1.75609920360985
"55","Республика Коми",674071,5908,401007,3234,46094,41680,290716,8179,3215,3809,4080,406915,60.3667862880913,0.794760576533183,11.3276728555104,10.2429254266862,71.4439133479965,2.01000208888834,0.790091296708158,0.93606772913262,1.00266640453166
"56","Республика Крым",1506779,11380,1067058,2105,23886,19511,993681,17706,2258,2780,5131,1078438,71.5724071015059,0.195189709561421,2.21487002498057,1.80919069988261,92.1407628440392,1.64181900118505,0.20937689510199,0.257780234005107,0.475780712474894
"57","Республика Марий Эл",536655,3146,353248,2013,51873,24516,263725,4821,2028,2128,2144,356394,66.4102635771585,0.564824323641812,14.5549588376909,6.87890368524723,73.9981593405052,1.35271637569656,0.569033148706207,0.597091982468841,0.601581395870862
"58","Республика Мордовия",613779,3564,473541,1856,33781,20753,407368,3619,2790,1641,1733,477105,77.7323759854931,0.389012900724159,7.08041206862221,4.34977625470284,85.3833013697195,0.758533236918498,0.584776935894614,0.343949445090703,0.363232412152461
"59","Республика Саха (Якутия)",643786,4636,452288,1696,124518,18089,294166,7494,1711,2010,2604,456924,70.9745163765599,0.371177701324509,27.2513590881635,3.95886405616689,64.3796342498971,1.64009769677233,0.374460522975374,0.439898101215957,0.569897838590225
"60","Республика Северная Осетия - Алания",515157,3470,459847,1071,51026,13954,377648,1034,8398,5699,1017,463317,89.9370483173091,0.231159227915229,11.0131939902917,3.01176084624566,81.5096359511954,0.223173334887345,1.8125818823829,1.23004336124079,0.219504140793452
"61","Республика Татарстан (Татарстан)",2919482,18045,2240620,13030,204618,67929,1854119,29951,37969,13361,19643,2258665,77.3652654820273,0.576889445756675,9.05924517358705,3.00748450965504,82.0891544341458,1.32604879430991,1.68103724987991,0.591544120088636,0.869673014811847
